type_hosp,codeGeo,Dépt,DéptNom,GDE REG,Nb RHA,Nb SSRHA,Nb séjours,Nb journées,Année
HC,02000,02,AISNE,HDF,11,4,4,59,2020
HC,02140,02,AISNE,HDF,2,1,1,11,2020
HP,02140,02,AISNE,HDF,2,2,2,2,2020
HC,02140,02,AISNE,HDF,15,2,2,92,2021
HP,02140,02,AISNE,HDF,4,4,4,4,2022
HP,02190,02,AISNE,HDF,1,1,1,1,2021
HP,02200,02,AISNE,HDF,2,2,2,2,2020
HC,02200,02,AISNE,HDF,8,1,1,50,2021
HP,02200,02,AISNE,HDF,2,2,2,2,2021
HP,02300,02,AISNE,HDF,16,4,16,66,2020
HP,02300,02,AISNE,HDF,5,3,5,17,2021
HP,02300,02,AISNE,HDF,5,3,5,15,2022
HP,02490,02,AISNE,HDF,1,1,1,1,2020
HP,02490,02,AISNE,HDF,5,1,5,25,2021
HP,02570,02,AISNE,HDF,1,1,1,1,2020
HC,02600,02,AISNE,HDF,3,1,1,18,2020
HP,02600,02,AISNE,HDF,1,1,1,1,2020
HP,02700,02,AISNE,HDF,1,1,1,1,2020
HP,02800,02,AISNE,HDF,2,2,2,2,2022
HP,03000,03,ALLIER,ARA,1,1,1,1,2022
HP,03300,03,ALLIER,ARA,1,1,1,1,2022
HP,05100,05,HAUTES-ALPES,PACA,10,2,10,40,2022
HP,08090,08,ARDENNES,GE,1,1,1,1,2020
HP,08090,08,ARDENNES,GE,7,3,7,22,2021
HP,08090,08,ARDENNES,GE,1,1,1,1,2022
HC,08300,08,ARDENNES,GE,21,2,2,131,2021
HP,08300,08,ARDENNES,GE,2,2,2,2,2021
HP,08300,08,ARDENNES,GE,1,1,1,1,2022
HP,08310,08,ARDENNES,GE,2,2,2,2,2021
HC,08310,08,ARDENNES,GE,39,16,16,141,2022
HP,08310,08,ARDENNES,GE,1,1,1,1,2022
HP,10300,10,AUBE,GE,1,1,1,1,2022
HP,14480,14,CALVADOS,NORMANDIE,1,1,1,1,2020
HP,14480,14,CALVADOS,NORMANDIE,1,1,1,1,2022
HP,18800,18,CHER,CVL,2,2,2,2,2022
HP,21000,21,COTE-D-OR,BFC,9,2,9,38,2022
HP,21800,21,COTE-D-OR,BFC,5,1,5,19,2022
HC,21910,21,COTE-D-OR,BFC,17,3,3,104,2021
HC,21910,21,COTE-D-OR,BFC,34,11,11,154,2022
HC,22510,22,COTES D-ARMOR,B,2,2,2,8,2022
HP,22510,22,COTES D-ARMOR,B,7,3,7,29,2022
HC,24100,24,DORDOGNE,NLLE AQ,3,1,1,18,2021
HC,27000,27,EURE,NORMANDIE,1,1,1,5,2022
HP,27000,27,EURE,NORMANDIE,4,2,4,14,2022
HC,27170,27,EURE,NORMANDIE,5,4,4,21,2020
HP,27170,27,EURE,NORMANDIE,1,1,1,1,2021
HP,27170,27,EURE,NORMANDIE,4,2,4,16,2022
HC,27210,27,EURE,NORMANDIE,4,1,1,23,2022
